Fault Model FM3.1																					
FID	minisection	Name	ELon1	NLat1	ELon2	NLat2	CREEPS?	ABM slip rate	ABM rake	NeoKinema slip rate	NeoKinema rake	NeoKinema dip	Zeng slip rate	Zeng rake	Geologic rate (mm/yr)	Geologic lower bound (mm/yr)	Geologic upper bound (mm/yr)	Geo rake	Geo dip	Geo dip dir	
17	17.03	Little Salmon (Onshore)	-124.1780	40.6460	-124.2310	40.7640	F	4.44	90.0	3.83	121.6	30	4.26	83.8	4.50	2.00	8.00	90.0	30	51.59	
19	19.01	Trinidad (alt1)	-123.8410	40.7900	-123.9221	40.8543	F	1.44	90.0	1.75	126.1	35	1.81	71.3	1.50	1.00	2.00	90.0	35	57.88	
19	19.02	Trinidad (alt1)	-123.9221	40.8543	-123.9994	40.9365	F	1.41	90.0	1.75	126.1	35	1.81	71.3	1.50	1.00	2.00	90.0	35	57.88	
19	19.03	Trinidad (alt1)	-123.9994	40.9365	-124.0287	40.9821	F	1.45	90.0	1.75	126.1	35	1.81	71.3	1.50	1.00	2.00	90.0	35	57.88	
19	19.04	Trinidad (alt1)	-124.0287	40.9821	-124.1117	41.0404	F	1.49	90.0	1.75	126.1	35	1.81	71.3	1.50	1.00	2.00	90.0	35	57.88	
19	19.05	Trinidad (alt1)	-124.1117	41.0404	-124.2507	41.1873	F	1.38	90.0	1.75	126.1	35	1.81	71.3	1.50	1.00	2.00	90.0	35	57.88	
19	19.06	Trinidad (alt1)	-124.2507	41.1873	-124.3186	41.2442	F	1.48	90.0	1.75	126.1	35	1.81	71.3	1.50	1.00	2.00	90.0	35	57.88	
19	19.07	Trinidad (alt1)	-124.3186	41.2442	-124.3430	41.2970	F	1.44	90.0	1.75	126.1	35	1.81	71.3	1.50	1.00	2.00	90.0	35	57.88	
19	19.08	Trinidad (alt1)	-124.3430	41.2970	-124.3940	41.4490	F	1.30	90.0	1.75	126.1	35	1.81	71.3	1.50	1.00	2.00	90.0	35	57.88	
20	20.01	Fickle Hill (alt1)	-123.9646	40.7439	-123.9896	40.7846	F	0.57	90.0	0.59	95.9	35	0.70	71.6	0.60	0.20	1.20	90.0	35	54.82	
20	20.02	Fickle Hill (alt1)	-123.9896	40.7846	-124.0470	40.8579	F	0.54	90.0	0.59	95.9	35	0.70	71.6	0.60	0.20	1.20	90.0	35	54.82	
20	20.03	Fickle Hill (alt1)	-124.0470	40.8579	-124.1840	40.9787	F	0.51	90.0	0.59	95.9	35	0.70	71.6	0.60	0.20	1.20	90.0	35	54.82	
21	21.01	McKinleyville (alt1)	-123.8638	40.7571	-123.9034	40.7918	F	5.84	163.6	0.64	101.4	35	0.66	71.6	0.60	0.20	0.80	90.0	35	48.04	
21	21.02	McKinleyville (alt1)	-123.9034	40.7918	-123.9420	40.8175	F	0.59	90.0	0.64	101.4	35	0.66	71.6	0.60	0.20	0.80	90.0	35	48.04	
21	21.03	McKinleyville (alt1)	-123.9420	40.8175	-123.9985	40.8580	F	0.57	90.0	0.64	101.4	35	0.66	71.6	0.60	0.20	0.80	90.0	35	48.04	
21	21.04	McKinleyville (alt1)	-123.9985	40.8580	-124.0513	40.9095	F	0.55	90.0	0.64	101.4	35	0.66	71.6	0.60	0.20	0.80	90.0	35	48.04	
21	21.05	McKinleyville (alt1)	-124.0513	40.9095	-124.0908	40.9620	F	0.54	90.0	0.64	101.4	35	0.66	71.6	0.60	0.20	0.80	90.0	35	48.04	
21	21.06	McKinleyville (alt1)	-124.0908	40.9620	-124.1831	41.0581	F	0.52	90.0	0.64	101.4	35	0.66	71.6	0.60	0.20	0.80	90.0	35	48.04	
21	21.07	McKinleyville (alt1)	-124.1831	41.0581	-124.2327	41.0659	F	0.71	90.0	0.64	101.4	35	0.66	71.6	0.60	0.20	0.80	90.0	35	48.04	
22	22.01	Mad River (alt1)	-123.9246	40.7470	-123.9590	40.8085	F	0.66	90.0	0.81	101.1	35	0.92	71.0	0.70	0.50	1.00	90.0	35	50.8	
22	22.02	Mad River (alt1)	-123.9590	40.8085	-123.9963	40.8372	F	0.68	90.0	0.81	101.1	35	0.92	71.0	0.70	0.50	1.00	90.0	35	50.8	
22	22.03	Mad River (alt1)	-123.9963	40.8372	-124.0696	40.8995	F	0.64	90.0	0.81	101.1	35	0.92	71.0	0.70	0.50	1.00	90.0	35	50.8	
22	22.04	Mad River (alt1)	-124.0696	40.8995	-124.1117	40.9332	F	0.68	90.0	0.81	101.1	35	0.92	71.0	0.70	0.50	1.00	90.0	35	50.8	
22	22.05	Mad River (alt1)	-124.1117	40.9332	-124.1487	40.9837	F	0.64	90.0	0.81	101.1	35	0.92	71.0	0.70	0.50	1.00	90.0	35	50.8	
22	22.06	Mad River (alt1)	-124.1487	40.9837	-124.2332	41.0321	F	0.76	90.0	0.81	101.1	35	0.92	71.0	0.70	0.50	1.00	90.0	35	50.8	
28	28.01	San Jacinto (Superstition Mtn)	-115.9430	33.0010	-115.8067	32.9379	F	9.36	180.0	7.39	180.0	90	9.47	180.0	7.00	2.00	8.00	180.0	90	209.53	
28	28.02	San Jacinto (Superstition Mtn)	-115.8067	32.9379	-115.6980	32.8842	F	9.41	180.0	7.39	180.0	90	9.47	180.0	7.00	2.00	8.00	180.0	90	209.53	
30	30.01	Hosgri	-120.7460	34.8548	-120.7660	34.8931	F	1.45	180.0	1.23	180.0	80	1.02	-161.2	1.50	1.00	5.00	180.0	80	58.55	
30	30.02	Hosgri	-120.7660	34.8931	-120.7950	34.9340	F	1.62	180.0	1.23	180.0	80	1.02	-161.2	1.50	1.00	5.00	180.0	80	58.55	
30	30.03	Hosgri	-120.7950	34.9340	-120.8050	34.9754	F	1.09	180.0	1.23	180.0	80	1.02	-161.2	1.50	1.00	5.00	180.0	80	58.55	
30	30.04	Hosgri	-120.8050	34.9754	-120.8340	35.0469	F	1.31	180.0	1.23	180.0	80	1.02	-161.2	1.50	1.00	5.00	180.0	80	58.55	
30	30.05	Hosgri	-120.8340	35.0469	-120.8660	35.1085	F	1.44	180.0	1.23	180.0	80	1.02	-161.2	1.50	1.00	5.00	180.0	80	58.55	
30	30.06	Hosgri	-120.8660	35.1085	-120.8790	35.1429	F	1.27	180.0	1.23	180.0	80	1.02	-161.2	1.50	1.00	5.00	180.0	80	58.55	
30	30.07	Hosgri	-120.8790	35.1429	-120.9170	35.2063	F	1.51	180.0	1.23	180.0	80	1.02	-161.2	1.50	1.00	5.00	180.0	80	58.55	
30	30.08	Hosgri	-120.9170	35.2063	-120.9728	35.3175	F	1.42	180.0	1.23	180.0	80	1.02	-161.2	1.50	1.00	5.00	180.0	80	58.55	
30	30.09	Hosgri	-120.9728	35.3175	-121.0020	35.3547	F	1.73	180.0	1.23	180.0	80	1.02	-161.2	1.50	1.00	5.00	180.0	80	58.55	
30	30.1	Hosgri	-121.0020	35.3547	-121.0460	35.4214	F	1.59	180.0	1.23	180.0	80	1.02	-161.2	2.50	1.00	5.00	180.0	80	58.55	
30	30.11	Hosgri	-121.0460	35.4214	-121.0640	35.4542	F	1.46	180.0	1.23	180.0	80	1.02	-161.2	2.50	1.00	5.00	180.0	80	58.55	
30	30.12	Hosgri	-121.0640	35.4542	-121.0910	35.5020	F	1.48	180.0	1.23	180.0	80	1.02	-161.2	2.50	1.00	5.00	180.0	80	58.55	
30	30.13	Hosgri	-121.0910	35.5020	-121.1580	35.6027	F	1.60	180.0	1.23	180.0	80	1.02	-161.2	2.50	1.00	5.00	180.0	80	58.55	
30	30.14	Hosgri	-121.1580	35.6027	-121.1940	35.6523	F	1.63	180.0	1.23	180.0	80	1.02	-161.2	2.50	1.00	5.00	180.0	80	58.55	
30	30.15	Hosgri	-121.1940	35.6523	-121.2410	35.7005	F	1.86	180.0	1.23	180.0	80	1.02	-161.2	2.50	1.00	5.00	180.0	80	58.55	
30	30.16	Hosgri	-121.2410	35.7005	-121.2860	35.7437	F	1.91	180.0	1.23	180.0	80	1.02	-161.2	2.50	1.00	5.00	180.0	80	58.55	
30	30.17	Hosgri	-121.2860	35.7437	-121.3190	35.7685	F	2.05	180.0	1.23	180.0	80	1.02	-161.2	2.50	1.00	5.00	180.0	80	58.55	
30	30.18	Hosgri	-121.3190	35.7685	-121.3650	35.7917	F	2.27	180.0	1.23	180.0	80	1.02	-161.2	2.50	1.00	5.00	180.0	80	58.55	
30	30.19	Hosgri	-121.3650	35.7917	-121.4180	35.8356	F	2.00	180.0	1.23	180.0	80	1.02	-161.2	2.50	1.00	5.00	180.0	80	58.55	
30	30.2	Hosgri	-121.4180	35.8356	-121.4530	35.8623	F	2.05	180.0	1.23	180.0	80	1.02	-161.2	2.50	1.00	5.00	180.0	80	58.55	
30	30.21	Hosgri	-121.4530	35.8623	-121.4940	35.8946	F	2.02	180.0	1.23	180.0	80	1.02	-161.2	2.50	1.00	5.00	180.0	80	58.55	
30	30.22	Hosgri	-121.4940	35.8946	-121.5170	35.9287	F	1.54	180.0	1.23	180.0	80	1.02	-161.2	2.50	1.00	5.00	180.0	80	58.55	
30	30.23	Hosgri	-121.5170	35.9287	-121.5610	35.9680	F	1.94	180.0	1.23	180.0	80	1.02	-161.2	2.50	1.00	5.00	180.0	80	58.55	
30	30.24	Hosgri	-121.5610	35.9680	-121.7270	36.1462	F	1.62	180.0	1.23	180.0	80	1.02	-161.2	2.50	1.00	5.00	180.0	80	58.55	
31	31.01	San Juan	-120.3719	35.7928	-120.2954	35.6797	F	0.00	180.0	1.47	180.0	90	0.10	163.3	0.01	0.00	0.20	180.0	90	242.45	
31	31.02	San Juan	-120.2954	35.6797	-120.2292	35.5019	F	0.05	180.0	1.47	180.0	90	0.10	163.3	0.01	0.00	0.20	180.0	90	242.45	
31	31.03	San Juan	-120.2292	35.5019	-120.1250	35.3045	F	0.00	180.0	1.47	180.0	90	0.10	163.3	0.01	0.00	0.20	180.0	90	242.45	
31	31.04	San Juan	-120.1250	35.3045	-120.0821	35.2825	F	0.00	180.0	1.47	180.0	90	0.10	163.3	0.01	0.00	0.20	180.0	90	242.45	
31	31.05	San Juan	-120.0821	35.2825	-119.9607	35.1476	F	0.00	180.0	1.47	180.0	90	0.10	163.3	0.01	0.00	0.20	180.0	90	242.45	
32	32.01	San Andreas (Parkfield)	-120.3001	35.7520	-120.5609	36.0026	T	28.35	180.0	27.90	180.0	90	27.73	180.0	35.00	26.00	39.00	180.0	90	49.94	
34	34.01	Cedar Mtn-Mahogany Mtn	-121.9014	41.5257	-121.9447	41.8199	F	0.06	180.0	0.46	-86.9	60	0.51	-108.4	0.39	0.20	1.00	-90.0	60	76.69	
34	34.02	Cedar Mtn-Mahogany Mtn	-121.9447	41.8199	-121.9630	41.9453	F	0.06	180.0	0.46	-86.9	60	0.51	-108.4	0.39	0.20	1.00	-90.0	60	76.69	
34	34.03	Cedar Mtn-Mahogany Mtn	-121.9630	41.9453	-122.1163	42.1986	F	0.20	180.0	0.46	-86.9	60	0.51	-108.4	0.39	0.20	1.00	-90.0	60	76.69	
37	37.01	Hat Creek-McArthur-Mayfield	-121.6331	41.4511	-121.4331	41.1084	F	0.19	180.0	0.57	-87.9	60	0.59	-108.7	0.60	0.20	1.00	-90.0	60	253.68	
37	37.02	Hat Creek-McArthur-Mayfield	-121.4331	41.1084	-121.4398	40.9345	F	1.84	0.0	0.57	-87.9	60	0.59	-108.7	0.60	0.20	1.00	-90.0	60	253.68	
37	37.03	Hat Creek-McArthur-Mayfield	-121.4398	40.9345	-121.3732	40.6167	F	1.98	0.0	0.57	-87.9	60	0.59	-108.7	0.60	0.20	1.00	-90.0	60	253.68	
37	37.04	Hat Creek-McArthur-Mayfield	-121.3732	40.6167	-121.2909	40.5627	F	1.83	0.0	0.57	-87.9	60	0.59	-108.7	0.60	0.20	1.00	-90.0	60	253.68	
38	38.01	Robinson Creek	-119.3171	38.2066	-119.3029	38.2386	F	0.53	-90.0	0.70	-75.8	50	0.61	-71.0	0.50	0.20	1.00	-90.0	50	117.6	
38	38.02	Robinson Creek	-119.3029	38.2386	-119.3046	38.2635	F	0.52	-90.0	0.70	-75.8	50	0.61	-71.0	0.50	0.20	1.00	-90.0	50	117.6	
38	38.03	Robinson Creek	-119.3046	38.2635	-119.2317	38.3346	F	0.53	-90.0	0.70	-75.8	50	0.61	-71.0	0.50	0.20	1.00	-90.0	50	117.6	
42	42.01	Round Valley	-118.5992	37.2424	-118.6162	37.2513	F	3.02	-169.9	0.72	-89.1	50	0.70	-109.2	0.60	0.20	1.00	-90.0	50	70.36	
42	42.02	Round Valley	-118.6162	37.2513	-118.6351	37.2647	F	2.46	-134.6	0.72	-89.1	50	0.70	-109.2	0.60	0.20	1.00	-90.0	50	70.36	
42	42.03	Round Valley	-118.6351	37.2647	-118.6411	37.2786	F	2.46	-134.6	0.72	-89.1	50	0.70	-109.2	0.60	0.20	1.00	-90.0	50	70.36	
42	42.04	Round Valley	-118.6411	37.2786	-118.6388	37.3015	F	2.46	-134.6	0.72	-89.1	50	0.70	-109.2	0.60	0.20	1.00	-90.0	50	70.36	
42	42.05	Round Valley	-118.6388	37.3015	-118.6276	37.3267	F	2.46	-134.6	0.72	-89.1	50	0.70	-109.2	0.60	0.20	1.00	-90.0	50	70.36	
42	42.06	Round Valley	-118.6276	37.3267	-118.6151	37.3451	F	2.46	-134.6	0.72	-89.1	50	0.70	-109.2	0.60	0.20	1.00	-90.0	50	70.36	
42	42.07	Round Valley	-118.6151	37.3451	-118.6150	37.3574	F	2.46	-134.6	0.72	-89.1	50	0.70	-109.2	0.60	0.20	1.00	-90.0	50	70.36	
42	42.08	Round Valley	-118.6150	37.3574	-118.6297	37.3825	F	2.46	-134.6	0.72	-89.1	50	0.70	-109.2	0.60	0.20	1.00	-90.0	50	70.36	
42	42.09	Round Valley	-118.6297	37.3825	-118.6425	37.3975	F	2.46	-134.6	0.72	-89.1	50	0.70	-109.2	0.60	0.20	1.00	-90.0	50	70.36	
42	42.1	Round Valley	-118.6425	37.3975	-118.6506	37.4048	F	2.46	-134.6	0.72	-89.1	50	0.70	-109.2	0.60	0.20	1.00	-90.0	50	70.36	
42	42.11	Round Valley	-118.6506	37.4048	-118.6512	37.4137	F	2.46	-134.6	0.72	-89.1	50	0.70	-109.2	0.60	0.20	1.00	-90.0	50	70.36	
42	42.12	Round Valley	-118.6512	37.4137	-118.6372	37.4461	F	2.46	-134.6	0.72	-89.1	50	0.70	-109.2	0.60	0.20	1.00	-90.0	50	70.36	
42	42.13	Round Valley	-118.6372	37.4461	-118.6416	37.4813	F	2.46	-134.6	0.72	-89.1	50	0.70	-109.2	0.60	0.20	1.00	-90.0	50	70.36	
42	42.14	Round Valley	-118.6416	37.4813	-118.6504	37.5152	F	3.29	-170.3	0.72	-89.1	50	0.70	-109.2	0.60	0.20	1.00	-90.0	50	70.36	
42	42.15	Round Valley	-118.6504	37.5152	-118.6718	37.5247	F	3.29	-170.3	0.72	-89.1	50	0.70	-109.2	0.60	0.20	1.00	-90.0	50	70.36	
42	42.16	Round Valley	-118.6718	37.5247	-118.7023	37.5397	F	3.29	-170.3	0.72	-89.1	50	0.70	-109.2	0.60	0.20	1.00	-90.0	50	70.36	
42	42.17	Round Valley	-118.7023	37.5397	-118.7309	37.5486	F	3.29	-170.3	0.72	-89.1	50	0.70	-109.2	0.60	0.20	1.00	-90.0	50	70.36	
42	42.18	Round Valley	-118.7309	37.5486	-118.7423	37.5603	F	3.29	-170.3	0.72	-89.1	50	0.70	-109.2	0.60	0.20	1.00	-90.0	50	70.36	
44	44.01	White Mountains	-118.1663	37.0221	-118.1666	37.0398	F	0.61	180.0	0.88	-159.4	55	0.39	-160.6	0.60	0.20	1.00	180.0	90	81.84	
44	44.02	White Mountains	-118.1666	37.0398	-118.1876	37.0686	F	0.64	180.0	0.88	-159.4	55	0.39	-160.6	0.60	0.20	1.00	180.0	90	81.84	
44	44.03	White Mountains	-118.1876	37.0686	-118.2237	37.1719	F	0.71	180.0	0.88	-159.4	55	0.39	-160.6	0.60	0.20	1.00	180.0	90	81.84	
44	44.04	White Mountains	-118.2237	37.1719	-118.2583	37.2415	F	0.68	180.0	0.88	-159.4	55	0.39	-160.6	0.60	0.20	1.00	180.0	90	81.84	
44	44.05	White Mountains	-118.2583	37.2415	-118.2792	37.3025	F	0.66	180.0	0.88	-159.4	55	0.39	-160.6	0.60	0.20	1.00	180.0	90	81.84	
44	44.06	White Mountains	-118.2792	37.3025	-118.2930	37.3335	F	0.63	180.0	0.88	-159.4	55	0.39	-160.6	0.60	0.20	1.00	180.0	90	81.84	
44	44.07	White Mountains	-118.2930	37.3335	-118.3051	37.3785	F	0.64	180.0	0.88	-159.4	55	0.39	-160.6	0.60	0.20	1.00	180.0	90	81.84	
44	44.08	White Mountains	-118.3051	37.3785	-118.3181	37.4301	F	0.65	180.0	0.88	-159.4	55	0.39	-160.6	0.60	0.20	1.00	180.0	90	81.84	
44	44.09	White Mountains	-118.3181	37.4301	-118.3302	37.4847	F	0.65	180.0	0.88	-159.4	55	0.39	-160.6	0.60	0.20	1.00	180.0	90	81.84	
44	44.1	White Mountains	-118.3302	37.4847	-118.3357	37.5275	F	0.63	180.0	0.88	-159.4	55	0.39	-160.6	0.60	0.20	1.00	180.0	90	81.84	
44	44.11	White Mountains	-118.3357	37.5275	-118.3487	37.5755	F	0.64	180.0	0.88	-159.4	55	0.39	-160.6	0.60	0.20	1.00	180.0	90	81.84	
44	44.12	White Mountains	-118.3487	37.5755	-118.3672	37.6685	F	0.67	180.0	0.88	-159.4	55	0.39	-160.6	0.60	0.20	1.00	180.0	90	81.84	
44	44.13	White Mountains	-118.3672	37.6685	-118.3755	37.7356	F	0.65	180.0	0.88	-159.4	55	0.39	-160.6	0.60	0.20	1.00	180.0	90	81.84	
44	44.14	White Mountains	-118.3755	37.7356	-118.4113	37.7839	F	0.65	180.0	0.88	-159.4	55	0.39	-160.6	0.60	0.20	1.00	180.0	90	81.84	
44	44.15	White Mountains	-118.4113	37.7839	-118.4291	37.8315	F	0.64	180.0	0.88	-159.4	55	0.39	-160.6	0.60	0.20	1.00	180.0	90	81.84	
44	44.16	White Mountains	-118.4291	37.8315	-118.4135	37.8699	F	0.61	180.0	0.88	-159.4	55	0.39	-160.6	0.60	0.20	1.00	180.0	90	81.84	
44	44.17	White Mountains	-118.4135	37.8699	-118.3857	37.9009	F	0.59	180.0	0.88	-159.4	55	0.39	-160.6	0.60	0.20	1.00	180.0	90	81.84	
44	44.18	White Mountains	-118.3857	37.9009	-118.3459	37.9430	F	0.58	180.0	0.88	-159.4	55	0.39	-160.6	0.60	0.20	1.00	180.0	90	81.84	
44	44.19	White Mountains	-118.3459	37.9430	-118.3376	37.9644	F	0.60	180.0	0.88	-159.4	55	0.39	-160.6	0.60	0.20	1.00	180.0	90	81.84	
45	45.01	Death Valley (Fish Lake Valley	-117.6675	37.3019	-117.6973	37.3208	F	1.93	180.0	2.39	-173.9	55	3.07	-156.8	3.00	2.00	4.00	-150.0	90	51.86	
45	45.02	Death Valley (Fish Lake Valley	-117.6973	37.3208	-117.7625	37.3475	F	1.55	180.0	2.39	-173.9	55	3.07	-156.8	3.00	2.00	4.00	-150.0	90	51.86	
45	45.03	Death Valley (Fish Lake Valley	-117.7625	37.3475	-117.8073	37.3674	F	1.63	180.0	2.39	-173.9	55	3.07	-156.8	3.00	2.00	4.00	-150.0	90	51.86	
45	45.04	Death Valley (Fish Lake Valley	-117.8073	37.3674	-117.9638	37.5233	F	2.25	180.0	2.39	-173.9	55	3.07	-156.8	3.00	2.00	4.00	-150.0	90	51.86	
45	45.05	Death Valley (Fish Lake Valley	-117.9638	37.5233	-118.0340	37.5890	F	6.12	180.0	2.39	-173.9	55	3.07	-156.8	3.00	2.00	4.00	-150.0	90	51.86	
45	45.06	Death Valley (Fish Lake Valley	-118.0340	37.5890	-118.0571	37.6001	F	5.24	180.0	2.39	-173.9	55	3.07	-156.8	3.00	2.00	4.00	-150.0	90	51.86	
45	45.07	Death Valley (Fish Lake Valley	-118.0571	37.6001	-118.0747	37.6135	F	5.92	180.0	2.39	-173.9	55	3.07	-156.8	3.00	2.00	4.00	-150.0	90	51.86	
45	45.08	Death Valley (Fish Lake Valley	-118.0747	37.6135	-118.0932	37.6614	F	6.32	180.0	2.39	-173.9	55	3.07	-156.8	3.00	2.00	4.00	-150.0	90	51.86	
45	45.09	Death Valley (Fish Lake Valley	-118.0932	37.6614	-118.1240	37.7161	F	6.37	180.0	2.39	-173.9	55	3.07	-156.8	3.00	2.00	4.00	-150.0	90	51.86	
45	45.1	Death Valley (Fish Lake Valley	-118.1240	37.7161	-118.1550	37.7517	F	6.26	180.0	2.39	-173.9	55	3.07	-156.8	3.00	2.00	4.00	-150.0	90	51.86	
45	45.11	Death Valley (Fish Lake Valley	-118.1550	37.7517	-118.1923	37.8287	F	6.36	180.0	2.39	-173.9	55	3.07	-156.8	3.00	2.00	4.00	-150.0	90	51.86	
46	46.01	Death Valley (No)	-116.8811	36.5399	-117.0896	36.6977	F	2.08	180.0	3.10	180.0	90	5.24	-175.6	4.50	3.00	6.00	180.0	90	50.94	
46	46.02	Death Valley (No)	-117.0896	36.6977	-117.1602	36.7578	F	2.24	180.0	3.10	180.0	90	5.24	-175.6	4.50	3.00	6.00	180.0	90	50.94	
46	46.03	Death Valley (No)	-117.1602	36.7578	-117.2979	36.9250	F	2.35	180.0	3.10	180.0	90	5.24	-175.6	4.50	3.00	6.00	180.0	90	50.94	
46	46.04	Death Valley (No)	-117.2979	36.9250	-117.3235	36.9574	F	2.35	180.0	3.10	180.0	90	5.24	-175.6	4.50	3.00	6.00	180.0	90	50.94	
46	46.05	Death Valley (No)	-117.3235	36.9574	-117.3984	37.0318	F	2.25	180.0	3.10	180.0	90	5.24	-175.6	4.50	3.00	6.00	180.0	90	50.94	
46	46.06	Death Valley (No)	-117.3984	37.0318	-117.5004	37.1222	F	2.17	180.0	3.10	180.0	90	5.24	-175.6	4.50	3.00	6.00	180.0	90	50.94	
46	46.07	Death Valley (No)	-117.5004	37.1222	-117.5391	37.1763	F	2.41	180.0	3.10	180.0	90	5.24	-175.6	4.50	3.00	6.00	180.0	90	50.94	
46	46.08	Death Valley (No)	-117.5391	37.1763	-117.6530	37.2941	F	2.27	180.0	3.10	180.0	90	5.24	-175.6	4.50	3.00	6.00	180.0	90	50.94	
47	47.01	Owl Lake	-116.8772	35.6064	-116.6414	35.7277	F	2.14	0.0	2.00	0.0	90	2.27	-16.1	2.00	1.00	3.00	0.0	90	147.58	
48	48.01	Garlock (East)	-116.8789	35.5983	-116.8180	35.5967	F	0.68	0.0	1.18	0.0	90	4.87	0.0	3.00	1.00	5.00	0.0	90	180.97	
48	48.02	Garlock (East)	-116.8180	35.5967	-116.5908	35.5936	F	0.68	0.0	1.18	0.0	90	4.87	0.0	3.00	1.00	5.00	0.0	90	180.97	
48	48.03	Garlock (East)	-116.5908	35.5936	-116.4670	35.5864	F	0.67	0.0	1.18	0.0	90	4.87	0.0	3.00	1.00	5.00	0.0	90	180.97	
48	48.04	Garlock (East)	-116.4670	35.5864	-116.3797	35.5904	F	0.67	0.0	1.18	0.0	90	4.87	0.0	3.00	1.00	5.00	0.0	90	180.97	
49	49.01	Garlock (West)	-118.9183	34.8236	-118.8712	34.8284	F	6.06	0.0	5.74	0.0	90	1.68	0.0	6.00	5.00	11.00	0.0	90	148.68	
