U3_Fault_Section				U3 Average Slip Rates (mm/yr)								U3 Average Aseismicity Factors								U3 Average Coupling Coefficient								U2 Fault Section			U2 Slip Rate (mm/yr)						U3 Creep	
U3_Section_Name	U3 Sect ID	Length (km)	Orig Area (km-sq)	FM3pt1_Zeng	FM3pt1_NeoKinema	FM3pt1_Geologic	FM3pt1_ABM	FM3pt2_Zeng	FM3pt2_NeoKinema	FM3pt2_Geologic	FM3pt2_ABM	FM3pt1_Zeng	FM3pt1_NeoKinema	FM3pt1_Geologic	FM3pt1_ABM	FM3pt2_Zeng	FM3pt2_NeoKinema	FM3pt2_Geologic	FM3pt2_ABM	FM3pt1_Zeng	FM3pt1_NeoKinema	FM3pt1_Geologic	FM3pt1_ABM	FM3pt2_Zeng	FM3pt2_NeoKinema	FM3pt2_Geologic	FM3pt2_ABM	U2 Section Name	Length (km)	Orig Area (km-sq)	DM2pt1	DM2pt2	DM2pt3	DM2pt4	DM2pt5	DM2pt6	Aseis	coupCoeff
Bennett_Valley_2011_CFM	581	33.15	331.46	3.16E-02	3.66E+00	1.00E-02	7.86E-02	3.16E-02	4.06E+00	1.00E-02	7.86E-02	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Bicycle_Lake	158	20.11	247.40	1.00E-01	2.38E+00	1.00E-02	7.20E-02	1.00E-01	2.34E+00	1.00E-02	7.20E-02	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Big_Lagoon_-_Bald_Mtn_2011_CFM	741	196.77	4459.81	1.15E+00	1.02E+00	1.00E+00	9.86E-01	1.12E+00	9.98E-01	1.00E+00	9.86E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Big Lagoon-Bald Mtn	90.16	2043.45	5.00E-01	5.00E-01	5.00E-01	5.00E-01	5.00E-01	5.00E-01	0.00	1.00
Big_Pine_(Central)	192	22.85	155.44	1.00E-02	1.57E+00	1.00E-02	1.18E-01	1.00E-02	1.46E+00	1.00E-02	1.18E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Big_Pine_(East)	191	23.51	351.53	3.89E-01	1.01E+00	3.90E-01	3.28E-01	3.89E-01	1.05E+00	3.90E-01	3.28E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Big_Pine_(West)	200	18.09	259.75	1.00E-02	1.02E-01	1.00E-02	2.17E-10	1.00E-02	1.56E-01	1.00E-02	2.17E-10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Blackwater	87	63.32	766.13	5.19E-01	4.05E-01	5.00E-01	4.85E-01	5.19E-01	4.04E-01	5.00E-01	4.85E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Blackwater	59.55	720.54	5.00E-01	5.00E-01	5.00E-01	5.00E-01	5.00E-01	5.00E-01	0.00	1.00
Blue_Cut	169	79.32	1039.09	9.22E-02	1.69E+00	3.90E-01	2.00E-01	2.24E-01	1.77E+00	3.90E-01	2.00E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Brawley_(Seismic_Zone)_alt_1	170	59.90	790.69	2.37E+01	2.71E+01	2.30E+01	2.25E+01	null	null	null	null	0.90	0.90	0.90	0.90	null	null	null	null	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
Breckenridge_2011	541	10.93	184.28	1.04E-01	1.41E-01	1.00E-01	7.22E-02	1.04E-01	1.34E-01	1.00E-01	7.22E-02	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Bullion_Mountains	882	37.96	493.45	1.26E-01	3.04E+00	1.00E-01	1.45E-01	1.17E-01	3.37E+00	1.00E-01	1.45E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Burnt_Mtn	94	21.13	364.98	5.54E-01	1.73E+00	3.90E-01	4.60E-01	5.03E-01	1.73E+00	3.90E-01	4.60E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Burnt Mtn	21.13	364.98	6.00E-01	6.00E-01	6.00E-01	6.00E-01	6.00E-01	6.00E-01	0.00	1.00
Butano_2011_CFM	561	46.21	590.11	9.90E-02	2.33E+00	1.00E-02	1.87E-01	9.90E-02	2.39E+00	1.00E-02	1.87E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Cady	165	31.93	443.77	4.55E-01	1.00E+00	6.00E-01	4.99E-01	4.55E-01	1.00E+00	6.00E-01	4.99E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Calaveras_(Central)_2011_CFM	602	52.21	589.47	9.63E+00	1.04E+01	1.50E+01	9.95E+00	9.55E+00	1.08E+01	1.50E+01	9.95E+00	0.47	0.42	0.24	0.49	0.47	0.42	0.24	0.49	0.95	0.95	1.00	0.95	0.95	0.95	1.00	0.95	Calaveras (Central)	58.94	648.38	1.50E+01	1.50E+01	1.50E+01	1.50E+01	1.50E+01	1.50E+01	0.76	1.00
Calaveras_(No)_2011_CFM	601	47.84	680.14	4.65E+00	4.93E+00	6.00E+00	5.67E+00	4.70E+00	5.15E+00	6.00E+00	5.67E+00	0.46	0.42	0.33	0.37	0.46	0.39	0.33	0.37	0.99	1.00	1.00	1.00	0.99	1.00	1.00	1.00	Calaveras (No)	45.24	588.15	6.00E+00	6.00E+00	6.00E+00	6.00E+00	6.00E+00	6.00E+00	0.20	1.00
Calaveras_(So)_-_Paicines_extension_2011_CFM	621	59.63	795.57	8.60E+00	9.00E+00	1.00E+01	1.19E+01	8.46E+00	9.00E+00	1.00E+01	1.19E+01	0.57	0.55	0.50	0.48	0.59	0.55	0.50	0.48	0.83	0.83	0.83	0.95	0.83	0.83	0.83	0.95	null	null	null	null	null	null	null	null	null	null	null
Calaveras_(So)_2011_CFM	603	26.44	252.09	1.40E+01	1.20E+01	1.50E+01	1.47E+01	1.39E+01	1.22E+01	1.50E+01	1.47E+01	0.46	0.59	0.40	0.42	0.46	0.59	0.40	0.42	1.00	0.83	1.00	1.00	1.00	0.83	1.00	1.00	Calaveras (So)	19.34	212.78	1.50E+01	1.50E+01	1.50E+01	1.50E+01	1.50E+01	1.50E+01	0.80	1.00
Calico-Hidalgo	88	118.19	1642.78	2.45E+00	1.74E+00	1.80E+00	4.63E+00	2.41E+00	1.81E+00	1.80E+00	4.63E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Calico-Hidalgo	116.95	1625.57	1.80E+00	1.80E+00	1.80E+00	1.80E+00	1.80E+00	1.80E+00	0.00	1.00
Camp_Rock_2011	724	45.23	682.93	1.20E+00	6.94E-01	6.00E-01	1.95E+00	1.07E+00	8.21E-01	6.00E-01	1.95E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Camp Rock 2011	null	null	null	null	null	null	null	null	null	null
Canada_David_(Detachment)	173	37.18	945.19	4.11E-01	1.89E-01	3.90E-01	4.08E-01	4.11E-01	2.36E-01	3.90E-01	4.08E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Carlsbad	176	32.71	309.78	2.50E-01	2.23E-01	2.50E-01	1.85E-01	2.53E-01	6.00E-02	2.50E-01	1.85E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Carson_Range_(Genoa)	721	53.18	902.44	1.45E+00	1.63E+00	2.00E+00	2.20E+00	1.54E+00	1.64E+00	2.00E+00	2.20E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Casmalia_2011_CFM	670	47.90	595.10	2.53E-01	3.66E-01	2.50E-01	2.38E-01	2.53E-01	3.33E-01	2.50E-01	2.38E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Casmalia (Orcutt Frontal)	29.07	300.93	2.50E-01	2.50E-01	2.50E-01	2.50E-01	2.50E-01	2.50E-01	0.00	1.00
Cedar_Mtn-Mahogany_Mtn	34	77.81	853.60	5.06E-01	4.63E-01	3.90E-01	1.16E-01	4.74E-01	4.61E-01	3.90E-01	1.16E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Cedar Mtn-Mahogany Mtn	77.81	853.60	1.00E+00	1.00E+00	1.00E+00	1.00E+00	1.00E+00	1.00E+00	0.00	1.00
Cerro_Prieto	172	84.54	1208.97	1.78E+01	6.35E+00	2.36E+01	2.05E+01	1.79E+01	6.58E+00	2.36E+01	2.05E+01	0.07	0.25	0.03	0.04	0.07	0.20	0.03	0.04	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Channel_Islands_Thrust	129	59.22	1263.99	1.41E+00	1.14E+00	1.50E+00	1.41E+00	1.20E+00	9.57E-01	1.50E+00	1.41E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Channel Islands Thrust	59.22	1263.99	1.50E+00	1.50E+00	1.50E+00	1.50E+00	1.50E+00	1.50E+00	0.00	1.00
Channel_Islands_Western_Deep_Ramp	214	62.13	1335.02	2.00E-02	2.12E+00	1.00E-02	9.09E-03	1.00E-02	1.76E+00	1.00E-02	9.09E-03	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Chino_alt_1	238	24.35	286.10	1.03E+00	4.43E-01	1.00E+00	3.33E+00	null	null	null	null	0.10	0.10	0.10	0.10	null	null	null	null	1.00	1.00	1.00	1.00	null	null	null	null	"Chino, alt 1"	24.35	286.10	1.00E+00	1.00E+00	1.00E+00	null	null	null	0.00	1.00
Clamshell-Sawpit	124	16.06	293.48	3.72E-01	1.96E-01	3.90E-01	3.20E-01	3.75E-01	1.08E-01	3.90E-01	3.20E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Clamshell-Sawpit	16.06	293.48	5.00E-01	5.00E-01	5.00E-01	5.00E-01	5.00E-01	5.00E-01	0.00	1.00
Clayton	844	16.45	263.17	4.11E-01	1.19E+00	3.90E-01	5.42E-01	4.11E-01	1.81E+00	3.90E-01	5.42E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Cleghorn	81	25.87	400.94	5.19E-01	6.00E-01	4.50E-01	6.86E-01	5.69E-01	6.00E-01	4.50E-01	6.86E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Cleghorn	25.30	392.16	3.00E+00	3.00E+00	3.00E+00	3.00E+00	3.00E+00	3.00E+00	0.00	1.00
Cleghorn_Lake	884	28.65	372.45	2.00E-02	1.99E+00	1.00E-02	1.92E+00	2.00E-02	2.09E+00	1.00E-02	1.92E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Cleghorn_Pass	883	20.14	261.88	2.00E-02	6.81E-01	1.00E-02	7.87E-02	1.00E-02	6.90E-01	1.00E-02	7.87E-02	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Collayami_2011_CFM	582	34.83	348.35	4.33E-01	1.00E+00	3.90E-01	4.68E-01	4.24E-01	1.00E+00	3.90E-01	4.68E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Collayomi	28.51	285.08	6.00E-01	6.00E-01	6.00E-01	6.00E-01	6.00E-01	6.00E-01	0.00	1.00
Compton	184	64.84	1971.58	1.19E+00	8.68E-01	9.00E-01	8.98E-01	1.13E+00	1.02E+00	9.00E-01	8.98E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Concord_2011_CFM	622	18.23	273.39	3.47E+00	3.67E+00	4.30E+00	3.61E+00	3.47E+00	3.68E+00	4.30E+00	3.61E+00	0.55	0.46	0.34	0.48	0.55	0.46	0.34	0.48	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Concord	17.20	275.13	4.00E+00	4.00E+00	4.00E+00	4.00E+00	4.00E+00	4.00E+00	0.50	1.00
Contra_Costa_(Lafayette)_2011_CFM	626	8.45	123.35	3.16E-02	3.00E+00	1.00E-02	1.01E-01	2.24E-02	2.59E+00	1.00E-02	1.01E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Contra_Costa_Shear_Zone_(connector)_2011_CFM	633	30.01	391.91	9.49E-02	3.00E+00	1.00E-02	3.45E-01	null	null	null	null	0.10	0.10	0.10	0.10	null	null	null	null	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
Coronado_Bank_alt1	776	129.16	1110.78	2.77E+00	6.36E-01	1.83E+00	3.72E+00	null	null	null	null	0.10	0.10	0.10	0.10	null	null	null	null	1.00	1.00	1.00	1.00	null	null	null	null	Coronado Bank	186.45	1603.46	3.00E+00	3.00E+00	3.00E+00	3.00E+00	3.00E+00	3.00E+00	0.00	1.00
Coyote_Canyon	157	37.25	458.16	2.24E-02	3.52E+00	1.00E-02	1.42E-01	1.00E-02	3.25E+00	1.00E-02	1.42E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Coyote_Lake	163	52.29	700.70	1.17E-01	2.95E+00	1.00E-02	8.22E-02	8.54E-02	2.85E+00	1.00E-02	8.22E-02	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Cucamonga	125	29.18	536.40	1.64E+00	1.71E+00	1.50E+00	5.41E+00	1.64E+00	1.66E+00	1.50E+00	5.41E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Cucamonga	28.02	309.08	5.00E+00	5.00E+00	5.00E+00	5.00E+00	5.00E+00	5.00E+00	0.00	1.00
Davis_Creek	894	30.06	333.56	4.11E-01	4.81E-01	3.90E-01	3.88E-01	4.11E-01	4.68E-01	3.90E-01	3.88E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Death_Valley_(Black_Mtns_Frontal)	245	77.38	1161.53	3.86E+00	2.88E+00	3.00E+00	2.41E+00	3.80E+00	2.86E+00	3.00E+00	2.41E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Death Valley (Black Mtns Frontal)	76.10	1142.32	4.00E+00	4.00E+00	4.00E+00	4.00E+00	4.00E+00	4.00E+00	0.00	1.00
Death_Valley_(Fish_Lake_Valley)	45	76.85	999.10	3.07E+00	2.39E+00	3.00E+00	4.21E+00	2.97E+00	2.38E+00	3.00E+00	4.21E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Death Valley (No of Cucamongo)	76.85	999.10	5.00E+00	5.00E+00	5.00E+00	5.00E+00	5.00E+00	5.00E+00	0.00	1.00
Death_Valley_(No)	46	108.88	1415.48	5.24E+00	3.10E+00	4.50E+00	2.24E+00	5.04E+00	3.09E+00	4.50E+00	2.24E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Death Valley (No)	106.62	1386.06	5.00E+00	5.00E+00	5.00E+00	5.00E+00	5.00E+00	5.00E+00	0.00	1.00
Death_Valley_(So)	246	41.92	544.99	2.35E+00	1.09E+00	1.83E+00	2.26E+00	2.61E+00	1.08E+00	1.83E+00	2.26E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Death Valley (So)	41.92	544.99	4.00E+00	4.00E+00	4.00E+00	4.00E+00	4.00E+00	4.00E+00	0.00	1.00
Deep_Springs	51	25.35	430.19	1.24E+00	7.74E-01	1.20E+00	2.79E+00	1.24E+00	7.23E-01	1.20E+00	2.79E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Deep Springs	25.35	430.19	8.00E-01	8.00E-01	8.00E-01	8.00E-01	8.00E-01	8.00E-01	0.00	1.00
Del_Valle	230	9.17	180.26	3.92E-01	5.78E+00	3.90E-01	3.77E-01	3.81E-01	3.93E+00	3.90E-01	3.77E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Dog_Valley	889	29.83	447.52	1.00E-02	1.13E+00	1.00E-02	1.15E-01	1.00E-02	1.13E+00	1.00E-02	1.15E-01	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Dry_Mountain	888	29.90	507.42	1.00E-02	8.23E-01	1.00E-02	4.65E-02	1.00E-02	8.19E-01	1.00E-02	4.65E-02	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Earthquake_Valley	249	20.38	383.07	1.67E+00	1.39E+00	2.50E+00	1.97E+00	1.75E+00	1.12E-01	2.50E+00	1.97E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Earthquake Valley	20.38	383.07	2.00E+00	2.00E+00	2.00E+00	2.00E+00	2.00E+00	2.00E+00	0.00	1.00
Earthquake_Valley_(No__Extension)	255	33.06	621.54	1.62E+00	1.36E+00	2.50E+00	1.92E+00	1.72E+00	1.12E-01	2.50E+00	1.92E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Earthquake_Valley_(So_Extension)	256	9.33	175.37	1.65E+00	1.77E+00	2.50E+00	1.99E+00	1.75E+00	3.31E-01	2.50E+00	1.99E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
East_Huasna_2011_CFM	671	74.02	1110.33	1.04E-01	4.10E-02	1.00E-02	1.25E-02	1.04E-01	5.77E-01	1.00E-02	1.25E-02	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Eaton_Roughs_2011_CFM	672	97.84	1467.63	3.38E+00	4.93E+00	3.90E-01	3.43E+00	3.34E+00	4.70E+00	3.90E-01	3.43E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	null	null	null	null	null	null	null	null	null	null	null
Elmore_Ranch	96	29.02	330.79	1.23E+00	5.90E+00	1.00E+00	1.43E+00	1.14E+00	2.66E+00	1.00E+00	1.43E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Elmore Ranch	29.02	330.79	1.00E+00	1.00E+00	1.00E+00	1.00E+00	1.00E+00	1.00E+00	0.00	1.00
Elsinore_(Coyote_Mountains)	103	38.84	517.67	1.91E+00	1.47E+00	2.50E+00	3.49E+00	1.97E+00	1.41E+00	2.50E+00	3.49E+00	0.20	0.40	0.15	0.10	0.20	0.40	0.15	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Elsinore (Coyote Mountain)	38.84	517.67	4.00E+00	4.00E+00	4.00E+00	4.00E+00	4.00E+00	4.00E+00	0.00	1.00
Elsinore_(Glen_Ivy)_rev	296	25.85	341.16	5.38E+00	2.73E+00	5.00E+00	3.64E+00	5.36E+00	2.99E+00	5.00E+00	3.64E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Elsinore (Glen Ivy) rev	25.85	341.16	5.00E+00	5.00E+00	5.00E+00	5.00E+00	5.00E+00	5.00E+00	0.00	1.00
Elsinore_(Julian)	102	75.50	1427.16	2.61E+00	1.47E+00	3.00E+00	3.54E+00	2.69E+00	2.03E+00	3.00E+00	3.54E+00	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	Elsinore (Julian)	75.50	1427.16	5.00E+00	5.00E+00	5.00E+00	5.00E+00	5.00E+00	5.00E+00	0.00	1.00
